Ativo;Dia;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado Financeiro;Resultado Pontos;Total Acumulado;Acumlado Dia
WING20;02/01/2020;02/01/2020 09:35;02/01/2020 09:59;23min47s;1;C;117.095,00;116.990,00;-21;-105;-21;-105
WING20;02/01/2020;02/01/2020 10:07;02/01/2020 10:12;4min57s;1;C;117.070,00;117.075,00;1;5;-20;-100
WING20;02/01/2020;02/01/2020 10:17;02/01/2020 10:22;5min27s;1;C;116.990,00;117.050,00;12;60;-8;-40
WING20;02/01/2020;02/01/2020 10:27;02/01/2020 10:30;2min53s;1;C;116.995,00;117.085,00;18;90;10;50
WING20;02/01/2020;02/01/2020 11:10;02/01/2020 11:11;25s;1;C;117.530,00;117.580,00;10;50;20;100
WING20;02/01/2020;02/01/2020 11:20;02/01/2020 11:22;2min11s;1;C;117.555,00;117.600,00;9;45;29;145
WING20;02/01/2020;02/01/2020 11:25;02/01/2020 11:28;3min9s;1;C;117.560,00;117.610,00;10;50;39;195
WING20;02/01/2020;02/01/2020 12:12;02/01/2020 12:32;20min23s;1;C;118.260,00;118.175,00;-17;-85;22;110
WING20;02/01/2020;02/01/2020 12:41;02/01/2020 13:09;28min10s;1;V;118.285,00;118.170,00;-23;-115;-1;-5
WING20;02/01/2020;02/01/2020 13:17;02/01/2020 13:23;5min24s;1;C;118.315,00;118.340,00;5;25;4;20
WING20;02/01/2020;02/01/2020 13:28;02/01/2020 13:44;16min19s;1;C;118.310,00;118.215,00;-19;-95;-15;-75
WING20;02/01/2020;02/01/2020 13:48;02/01/2020 13:50;2min10s;1;V;118.190,00;118.230,00;8;40;-7;-35
WING20;02/01/2020;02/01/2020 13:53;02/01/2020 13:54;1min17s;1;V;118.170,00;118.215,00;9;45;2;10
WING20;02/01/2020;02/01/2020 13:58;02/01/2020 14:06;7min28s;1;V;118.205,00;118.205,00;0;0;2;10
WING20;02/01/2020;02/01/2020 14:07;02/01/2020 14:13;6min47s;1;V;118.230,00;118.255,00;5;25;7;35
WING20;02/01/2020;02/01/2020 14:26;02/01/2020 14:30;3min32s;1;C;118.280,00;118.305,00;5;25;12;60
WING20;02/01/2020;02/01/2020 14:31;02/01/2020 14:35;3min57s;1;C;118.260,00;118.290,00;6;30;18;90
WING20;02/01/2020;02/01/2020 14:48;02/01/2020 15:00;11min44s;1;C;118.400,00;118.445,00;9;45;27;135
WING20;02/01/2020;02/01/2020 15:07;02/01/2020 15:08;1min34s;1;C;118.415,00;118.450,00;7;35;34;170
WING20;02/01/2020;02/01/2020 15:17;02/01/2020 15:24;7min54s;1;C;118.440,00;118.465,00;5;25;39;195
WING20;02/01/2020;02/01/2020 15:41;02/01/2020 16:14;33min33s;1;C;118.610,00;118.470,00;-28;-140;11;55
WING20;03/01/2020;03/01/2020 09:30;03/01/2020 09:32;1min52s;1;V;117.420,00;117.520,00;20;100;31;100
WING20;03/01/2020;03/01/2020 09:42;03/01/2020 09:48;5min58s;1;V;117.505,00;117.485,00;-4;-20;27;80
WING20;03/01/2020;03/01/2020 10:25;03/01/2020 10:26;1min5s;1;C;117.975,00;118.115,00;28;140;55;220
WING20;03/01/2020;03/01/2020 10:29;03/01/2020 10:36;6min43s;1;C;117.960,00;118.025,00;13;65;68;285
WING20;03/01/2020;03/01/2020 11:14;03/01/2020 11:15;15s;1;C;118.345,00;118.420,00;15;75;83;360
WING20;03/01/2020;03/01/2020 11:26;03/01/2020 11:30;3min43s;1;C;118.515,00;118.545,00;6;30;89;390
WING20;03/01/2020;03/01/2020 11:42;03/01/2020 11:44;1min36s;1;C;118.645,00;118.790,00;29;145;118;535
WING20;03/01/2020;03/01/2020 11:51;03/01/2020 12:11;19min59s;1;C;118.690,00;118.590,00;-20;-100;98;435
WING20;03/01/2020;03/01/2020 12:18;03/01/2020 12:33;15min5s;1;C;118.570,00;118.420,00;-30;-150;68;285
WING20;03/01/2020;03/01/2020 12:47;03/01/2020 12:55;8min17s;1;C;118.470,00;118.445,00;-5;-25;63;260
WING20;03/01/2020;03/01/2020 13:01;03/01/2020 13:13;12min11s;1;C;118.420,00;118.320,00;-20;-100;43;160
